name,latitude,longitude,type
Uyombo,-3.395993,39.960795,Marine reserve
Msumarini,-3.868569,39.804226,Open access
Kirudi,-4.236521,39.594479,Open access
Anzwani,-4.652055,39.362315,Marine reserve
Mombasa,-4.055982,39.667462,City
