site,transect,genus,B,others,FB,GA,IG,P,PR,TLS,UWS,WS,healthy,TotalD,Total Bleaching
LUDF2,1,Porites,3,0,6,0,0,4,1,0,13,1,70,15,9
LUDF2,1,Psammocora,0,0,0,0,0,0,0,0,0,0,2,0,0
LUDF2,1,Stylophora,0,0,0,2,0,0,0,0,0,0,0,2,0
LUDF2,1,Symphyllia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF2,2,Acropora,7,0,0,0,0,0,0,0,0,0,92,0,7
LUDF2,2,Ctenactis,0,0,0,0,0,0,0,0,1,0,0,1,0
LUDF2,2,Fungia,2,0,0,0,0,0,0,0,1,0,0,1,2
LUDF2,2,Galaxea,1,0,0,0,0,0,0,0,0,0,0,0,1
LUDF2,2,Goniastrea,0,0,0,0,0,0,0,0,1,0,0,1,0
LUDF2,2,Montipora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF2,2,Pavona,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF2,2,Platygyra,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF2,2,Pocillopora,55,0,0,20,0,0,4,0,0,0,59,24,55
LUDF2,2,Porites,1,0,0,0,0,0,0,0,5,0,9,5,1
LUDF2,3,Acanthastrea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF2,3,Acropora,3,0,0,0,0,0,0,0,0,0,42,0,3
LUDF2,3,Cyphastrea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF2,3,Diploastrea,0,0,0,0,0,0,0,0,0,1,2,1,0
LUDF2,3,Favites,0,0,0,0,0,0,0,0,0,0,2,0,0
LUDF2,3,Fungia,3,0,0,0,0,0,0,0,0,0,1,0,3
LUDF2,3,Galaxea,1,0,0,0,0,0,0,0,0,0,2,0,1
LUDF2,3,Gardineroseris,0,0,0,0,0,0,0,0,0,1,0,1,0
LUDF2,3,Goniastrea,0,0,0,0,0,0,0,0,0,0,4,0,0
LUDF2,3,Goniopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF2,3,Merulina,0,0,0,0,0,0,0,0,0,0,2,0,0
