Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,6,T,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,9,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Porites,2,M ,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Montipora,1,SM,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches (no tissue loss),FB
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Hydnophora,1,M ,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Porites,1,E,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,4,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Favites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Favites,1,E,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Porites,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Montipora,1,E,4,E,,Eroded,,,IG
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,2,CC,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Favites,1,M ,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,4,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,2,"GA, B",Growth Anomalies ,Bleaching ,,White patches (no tissue loss),GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,2,GA,,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,D,1,"B, PD",,Bleaching ,,Partly dead with white patches ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,1,B,,Bleaching ,,White patches (no tissue loss),BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Favites,1,E,1,"B, PD",,Bleaching ,,Partly dead and bleached ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Favites,1,E,1,B,,Bleaching ,,Wole colony bleached ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,6,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Montipora,1,E,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,7,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,2,"GA, PD",Growth Anomalies ,,,Partly dead with abnormal growth ,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,2,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,5,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,4,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,D,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Porites,1,SM,1,"P, PD",,Predation,,Partly dead with fish feeding marks ,P
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,6,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Montipora,1,SM,4,"E, PD",,Eroded,,Partly dead and eroded,IG
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,8,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,1,"B, PD",,Bleaching ,,Partly dead and bleached ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,20,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,T,1,"B, PD",,Bleaching ,,Partly dead and bleached ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,B,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,1,B,,Bleaching ,,White patches (no tissue loss),BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,4,T,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,2,CC,2,"GA, B",Growth Anomalies ,Bleaching ,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,4,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pavona,1,SM,1,"B, E, PD",,Bleaching ,Eroded,"Partly dead, eroded and bleached",BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Millepora,1,E,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,7,T,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,B,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,12,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,4,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,6,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,2,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Favites,2,SM,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,6,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,2,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Porites,1,SM,1,FB,,Focal Bleaching ,,White spots on surface (no tissue loss),FB
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,2,SM,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,24,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,B,1,B,,Bleaching ,,Partly dead and bleached,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,T,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,4,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Porites,1,E,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Isopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Goniastrea,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,4,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Psammocora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,1,"B, GA",Growth Anomalies ,Bleaching ,,White patches (no tissue loss) abnormal growth,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,B,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,T,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,1,B,,Bleaching ,,Whole colony bleached ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,D,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,2,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,18,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Isopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,1,"B, GA",Growth Anomalies ,Bleaching ,,Bleached with abnormal growth ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,T,1,P,,Predation,,White spots (tissue loss),P
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,8,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Millepora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Favites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,1,"B, PD",,Bleaching ,,Partly bleached and dead ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,9,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,12,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,3,CC,1,B,,Bleaching ,,White spots (no tissue loss),BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,T,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,1,B,,Bleaching ,,White patches ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,6,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Montipora,1,F,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Montipora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Leptoria,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Hydnophora,1,SM,1,"B, PD",,Bleaching ,,Partly bleached and dead,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Porites,2,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,1,B,,Bleaching ,,White patches on surface (no tissue loss),BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Platygyra,1,M ,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Montipora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,2,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,1,"B, PD",,Bleaching ,,Partly dead and bleached ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,D,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,8,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,T,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,B,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Montipora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,4,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,E,1,"B, PD",,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Stylophora,1,B,2,"GA, B",Growth Anomalies ,Bleaching ,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Goniastrea,2,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,2,"GA, B",Growth Anomalies ,Bleaching ,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,5,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,D,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,4,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,12,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,10,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,T,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,B,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,4,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Favia,1,M ,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Montipora,4,SM,1,"UWSD, PR, PD",Ulcerative White Spot Disease,Pigmentation Response,,Partly dead with white spots (tissue loss) and pink patches,UWS
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Favites,1,E,1,"B, PD",,Bleaching ,,Partly dead and bleached ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Galaxea,1,E,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Goniastrea,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Montipora,1,SM,1,"FB, PD",,Focal Bleaching ,,Partly dead with white spots (no tissue loss),FB
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Montipora,2,E,4,"E, PD",,Eroded,,Partly dead and eroded,IG
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Goniastrea,1,SM,1,"B, PD",,,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,11,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,B,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Favia,1,M ,1,"B, PD",,Bleaching ,,Partly dead and bleached ,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Leptoria,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,1,"UWSD, B, PD",Ulcerative White Spot Disease,Bleaching ,,Partly dead and bleached with white spots (tissue loss),UWS
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,D,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,T,2,"GA, PR",Growth Anomalies ,Pigmentation Response,,Pink patches and eroded,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Pocillopora,1,CC,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,2,D,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,3,T,3,PD,,,,,PD
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,0,,,,,,H
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,B,2,"GA, PD",Growth Anomalies ,,,Partly dead with abnormal growth,GA
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Acropora,1,T,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,14:38,NLSRF3,1,Leptoria,1,SM,0,,,,,,H
