Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,2,B,1,B,,Bleaching ,,,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Pocillopora,2,SM,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Pocillopora,1,CC,1,B,,Bleaching ,,,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Goniastrea,1,E,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Porites,1,E,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Hydnophora,1,SM,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,E,1,"B, PD",,Bleaching ,,Partly dead and bleached ,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Pavona,1,E,1,"B, PD",,Bleaching ,,Prtly dead and bleached ,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,2,B,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Pocillopora,1,SM,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,2,D,1,B,,Bleaching ,,,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Goniastrea,1,SM,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,E,1,B,,Bleaching ,,,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Porites,4,SM,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Leptastrea,1,E,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Pocillopora,1,SM,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Pocillopora,2,CC,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,E,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,D,1,"B, PD",,Bleaching ,,,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,B,1,"B,PD",,Bleaching ,,Partly dead and bleached ,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,2,B,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Pocillopora,1,SM,1,B,,Bleaching ,,,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,2,B,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,E,1,"B, PD",,Bleaching ,,,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Pocillopora,2,CC,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,D,1,"B, PD",,Bleaching ,,,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Montastrea,1,E,1,B,,Bleaching ,,,BL
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Isopora,1,E,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,D,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Acropora,1,T,2,"GA, PD",Growth Anomalies ,,,,GA
NanuyaLailai,12/3/2013,13:24,NLSRF4,1,Pocillopora,2,CC,1,B,,Bleaching ,,,BL
