Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Causes,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia,9/27/2013,12:25,LUSF1,1,Diploastrea,2,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Diploastrea,2,M ,1,"WS, PD",WS,WS,White Syndrome,,,Partly dead colony with WS,WS
Leleuvia,9/27/2013,12:25,LUSF1,1,Acropora,61,T,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Millepora,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Pocillopora,1,SM,1,"P, PD",P,P,,Predation,,Partly dead with most branch tips eaten by fish,FB
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,2,SM,1,"WSpt, P",UWS,WSO,Ulcerative White Spot Disease,Predation,,White spots on surface,UWS
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,3,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,2,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Diploastrea,1,M ,3,PD,,,,,,Competing with millepora,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Pocillopora,1,CC,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Millepora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,2,E,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Millepora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,E,3,PD,,,,,,Partly dead due to algal overgrowth,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Acropora,1,T,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,2,E,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,2,E,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUSF1,1,Pavona,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Acropora,5,T,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUSF1,1,Acropora,2,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Galaxea,1,M ,1,B,B,B,,Bleaching ,,White spots on surface,BL
Leleuvia,9/27/2013,12:25,LUSF1,1,Pocillopora,6,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Turbinaria ,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,E,1,"WSpt, P",UWS,WSO,Ulcerative White Spot Disease,Predation,,White spots on surface,UWS
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,E,1,"B, PD",B,B,,Bleaching ,,Partly dead with white blotches ,BL
Leleuvia,9/27/2013,12:25,LUSF1,1,Millepora,5,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Acropora,1,T,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,SM,1,B,B,B,,Bleaching ,,White blotches on surface,BL
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,F,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,2,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Pavona,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,2,M ,1,"WSpt, P",UWS,WSO,Ulcerative White Spot Disease,Predation,,White spots on surface,UWS
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Pavona,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Platygyra,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Diploastrea,1,M ,3,PD,,,,,,Looks like a rest WS,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Pocillopora,1,CC,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Lobophyllia,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Goniastrea,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Pavona,1,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,M ,2,"PR, PD",PR,,Pigmentation Response,,,Partly dead colony with PR at edges of dead end,PR
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,M ,1,"WSpt, P, PD",UWS,WSO,Ulcerative White Spot Disease,Predation,,Partly dead colony with white spots on surface,UWS
Leleuvia,9/27/2013,12:25,LUSF1,1,Pavona,1,SM,1,"WSpt, P",UWS,WSO,Ulcerative White Spot Disease,Predation,,Looks like fish bite marks ,UWS
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,M ,2,"PR, ",PR,,Pigmentation Response,,,"Discoloration in colony, slight pale patches on surface",PR
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,F,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Acropora,2,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,F,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Psammocora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Millepora,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,M ,1,"WSpt, P",UWS,WSO,Ulcerative White Spot Disease,Predation,,"White spots on surface, looks like fish bite marks",UWS
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,3,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Pavona,2,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,M ,1,"P, PD",P,P,,Predation,,Partly dead with PR,FB
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,2,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Coscinaraea,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Diploastrea,1,M ,3,PD,,,,,,Patches of dead tissue caused by algae or cynobacterial cover,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Psammocora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Isopora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Montipora,1,F,1,B,B,B,,Bleaching ,,White patches on surface and edge,BL
Leleuvia,9/27/2013,12:25,LUSF1,1,Pocillopora,1,CC,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Pocillopora,2,CC,2,GA,GA,,,,,,GA
Leleuvia,9/27/2013,12:25,LUSF1,1,Millepora,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,2,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,SM,2,PR,PR,,Pigmentation Response,,,Dark spots on surface,PR
Leleuvia,9/27/2013,12:25,LUSF1,1,Coscinaraea,1,SM,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,SM,1,"WSpt, P",UWS,WSO,Ulcerative White Spot Disease,Predation,,"White spots on surface, looks like fish bite marks",UWS
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUSF1,1,Goniopora,2,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUSF1,1,Porites,23,SM,3,PD,,,,,,,PD
