Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Causes,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Platygyra,1,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,SM,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,2,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Cyphastrea,1,SM,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,D,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Goniastrea,2,SM,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Platygyra,3,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Favites,1,SM,1,"B, PD",B,B,,,,,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Isopora,1,SM,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pocillopora,2,CC,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pavona,2,F,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Favia,1,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,2,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,D,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Cyphastrea,1,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,4,D,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Stylophora,1,B,3,PD,,,,,,Few branches show signs of fish bite marks,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pavona,5,F,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,5,B,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Favites,1,SM,1,"B, PD",B,B,,Bleaching ,,Partly dead with white patches ,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pocillopora,1,CC,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,B,1,"FB, PD",FB,B,,Focal Bleaching ,,Partly dead with white patches on some branches,FB
