Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Favites,1,E,1,"B, PD",,Bleaching ,,Slight tissue loss with white patches,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,16,T,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,2,D,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,17,B,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,2,E,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,2,SM,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Lobophyllia,1,M ,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,2,E,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Mycedium,5,,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,D,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Oxypora,2,F,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,1,SM,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,2,B,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,B,1,B,,Bleaching ,,Partly bleached colony ,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,1,"B, PD",,Bleaching ,,Partly bleached and dead,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,3,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,B,1,B,,Bleaching ,,,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Favites,2,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Mycedium,1,F,1,"B, ",,Bleaching ,,White patches and spots on surface,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,2,SM,1,"UWSD, ",Ulcerative White Spot Disease,,,White spots on surface,UWS
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,1,M ,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,6,B,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Pocillopora,1,CC,1,"B, ",,Bleaching ,,White patches on some branches,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Diploastrea,1,M ,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,2,M ,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,2,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,4,B,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,3,T,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,3,E,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,2,T,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,4,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Pavona,1,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Astreopora,1,SM,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Favites,1,E,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Montipora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Montastrea,1,M ,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Favites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,1,SM,2,PR,Pigmentation Response,,,,PR
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,1,M ,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots,UWS
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Millepora,3,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,D,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,E,1,"B, ",,Bleaching ,,Partly bleached ,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Pocillopora,1,CC,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Astreopora,1,SM,2,"PR, PD",Pigmentation Response,,,Partly dead with pink spots and patches,PR
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,1,SM,3,PD,,,,Sediment clogs causing partial tissue loss,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,2,T,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Pocillopora,1,CC,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Fungia,1,S,1,UWSD,Ulcerative White Spot Disease,,,White spots on surface,UWS
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,3,D,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,2,"GA, B",Growth Anomalies ,Bleaching ,,White spots with abnormal growth ,GA
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Pavona,1,E,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,B,1,B,,Bleaching ,,,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Favites,1,E,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,2,D,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Psammocora,2,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots,UWS
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,8,T,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Montipora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,D,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,1,E,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Hydnophora,1,SM,1,"B, PD",,Bleaching ,,Partly bleached and dead,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Favites,1,E,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,4,B,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,D,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Favia,1,E,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Porites,1,M ,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,B,1,B,,Bleaching ,,Whole colony looks pale,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Montipora,1,SM,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Platygyra,1,SM,3,PD,,,,,PD
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Montipora,1,SM,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,4,T,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,5,B,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,2,D,0,,,,,,H
Nanuyalailai,12/4/2013,13:27,NLSRF1,1,Acropora,1,T,1,B,,Bleaching ,,Colony looks pale,BL
