Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,Cat
NanuyaLailai,,,NLDF2,1,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,2,GA,Growth Anomalies ,,,,GA
NanuyaLailai,,,NLDF2,1,Echinopora,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches on surface,FB
NanuyaLailai,,,NLDF2,1,Acropora,2,T,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pocillopora,1,CC,1,"B, PD",,Bleaching ,,Partly dead with white patches on branches,B
NanuyaLailai,,,NLDF2,1,Porites,2,SM,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches ,FB
NanuyaLailai,,,NLDF2,1,Pocillopora,1,SM,1,"P, PD",,Predation,,Partly dead with white patches ,P
NanuyaLailai,,,NLDF2,1,Acropora,1,T,1,B,,Bleaching ,,,B
NanuyaLailai,,,NLDF2,1,Echinopora,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Pocillopora,6,SM,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches on surface,FB
NanuyaLailai,,,NLDF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Diploastrea,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,4,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,SM,1,P,,Predation,,White spots on surface,P
NanuyaLailai,,,NLDF2,1,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Stylophora,1,B,1,B,,,,Whole colony bleached ,B
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches on surface,FB
NanuyaLailai,,,NLDF2,1,Porites,1,M ,2,PR,Pigmentation Response,,,Pale patches on surface,PR
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Stylophora,1,B,0,,,,,,H
