Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,Cat
NanuyaLailai,,,NLDF2,2,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,2,SM,1,"P, PD",,Predation,,Partly dead with fish feeding marks,P
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pavona,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"B, PD",,Bleaching ,,Partly dead and bleached ,B
NanuyaLailai,,,NLDF2,2,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,2,T,1,"B, ",,Bleaching ,,White patches on some parts,B
NanuyaLailai,,,NLDF2,2,Porites,2,SM,1,"FB, P, PD",,Predation,Focal Bleaching ,White spots on surface,P
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,T,1,B,,Bleaching ,,White patches on surface,B
NanuyaLailai,,,NLDF2,2,Pavona,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,1,"B, PD",,Bleaching ,,Partly bleached and dead,B
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Stylophora,1,B,1,"B, ",,Bleaching ,,White patches on some surface,B
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,D,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,T,2,"GA, PD",Growth Anomalies ,,,Partly dead with GA,GA
NanuyaLailai,,,NLDF2,2,Echinopora,1,F,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,B,,Bleaching ,,Colony looks pale ,B
NanuyaLailai,,,NLDF2,2,Favites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Stylophora,2,B,1,B,,Bleaching ,,White spot on some branches,B
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,"B, E",,Bleaching ,Eroded,Whole colony bleached and eroded,B
NanuyaLailai,,,NLDF2,2,Goniastrea,1,M ,1,P,,Predation,,Organism burrowing into the colony,P
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots on surface,UWS
NanuyaLailai,,,NLDF2,2,Cyphastrea,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,1,B,,Bleaching ,,,B
NanuyaLailai,,,NLDF2,2,Montipora,1,F,1,UWSD,Ulcerative White Spot Disease,,,White spots on surface,UWS
NanuyaLailai,,,NLDF2,2,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,B,,Bleaching ,,Whole colony looks pale,B
NanuyaLailai,,,NLDF2,2,Isopora,1,SM,1,B,,Bleaching ,,,B
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Favites,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Galaxea,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Echinopora,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,1,"B, PD",,Bleaching ,,Partly dead with white patches,B
NanuyaLailai,,,NLDF2,2,Astreopora,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Platygyra,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,8,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,B,,Bleaching ,,Some white patches on branches,B
NanuyaLailai,,,NLDF2,2,Porites,1,M ,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots - PR after injury,UWS
NanuyaLailai,,,NLDF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Favites,1,E,1,"B, PD",,Bleaching ,,Partly dead with white patches ,B
NanuyaLailai,,,NLDF2,2,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,1,M ,1,"FB, PD",,Focal Bleaching ,,Partly dead with white spots,FB
NanuyaLailai,,,NLDF2,2,Porites,1,E,1,"B, PD",,Bleaching ,,Partly dead with white spots,B
NanuyaLailai,,,NLDF2,2,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots,UWS
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,T,1,"P, PD",,Predation,,Partly dead with signs of COTs feeding,P
NanuyaLailai,,,NLDF2,2,Millepora,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,2,M ,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots on surface,UWS
NanuyaLailai,,,NLDF2,2,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,1,B,,Bleaching ,,Colony looks pale,B
NanuyaLailai,,,NLDF2,2,Acropora,5,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,"B, PD",,Bleaching ,,Partly dead with white patches ,B
NanuyaLailai,,,NLDF2,2,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots on surface,UWS
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"B, PD",,Bleaching ,,Partly dead with white patches on some branches,B
NanuyaLailai,,,NLDF2,2,Acropora,3,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pavona,1,SM,1,"B, PD",,Bleaching ,,Partly bleached and dead,B
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots,UWS
NanuyaLailai,,,NLDF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pavona,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,4,B,1,"B, PD",,Bleaching ,,Partly dead and bleached,B
NanuyaLailai,,,NLDF2,2,Acropora,3,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,3,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Favites,1,SM,1,"B, PD",,Bleaching ,,Partly dead and bleached,B
NanuyaLailai,,,NLDF2,2,Goniopora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pachyseris,2,F,2,"PR, PD",Pigmentation Response,,,Partly dead with pale patches ,PR
NanuyaLailai,,,NLDF2,2,Acropora,8,B,1,"B, PD",,Bleaching ,,,B
NanuyaLailai,,,NLDF2,2,Acropora,4,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,SM,1,"P, B, PD",,Predation,Bleaching ,Partly dead with white patches and fish bite marks ,P
NanuyaLailai,,,NLDF2,2,Pocillopora,1,SM,2,"GA, PD",Growth Anomalies ,,,,GA
NanuyaLailai,,,NLDF2,2,Montipora,1,F,4,"E, PD",,Eroded,,Partly dead with organism burrowing,E
NanuyaLailai,,,NLDF2,2,Favites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"WS, PD",White Syndrome,,,Partly dead with one branch showing signs of WS,WS
NanuyaLailai,,,NLDF2,2,Porites,1,E,1,"B, PD",,Bleaching ,,Iregular bleaching- white spots and patches on a partly dead colony,B
NanuyaLailai,,,NLDF2,2,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Favites,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,2,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Merulina,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,E,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots on surface,UWS
NanuyaLailai,,,NLDF2,2,Isopora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,"B, PD",,Bleaching ,,,B
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches,FB
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots and patches ,UWS
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Lobophyllia,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"FB, PD",,Focal Bleaching ,,,FB
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,B,,,,,B
NanuyaLailai,,,NLDF2,2,Stylophora,1,B,1,B,,,,,B
NanuyaLailai,,,NLDF2,2,Porites,1,SM,1,"B, PD",,Bleaching ,,Partly dead with white patches,B
NanuyaLailai,,,NLDF2,2,Porites,1,SM,1,"P, B, PD",,Bleaching ,Predation,Partly dead with white patches and fish bite marks ,B
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,1,"B, PD",,Bleaching ,,,B
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Stylophora,2,B,1,"B, PD",,,,,B
NanuyaLailai,,,NLDF2,2,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,T,1,"P, PD",,Predation,,Partly dead with COTs feeding sign,P
NanuyaLailai,,,NLDF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,3,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Fungia,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"B, ",,Bleaching ,,Most branches are white ,B
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Diploastrea,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Merulina,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,1,E,1,"B, PD",,Bleaching ,,Partly dead and bleached,B
NanuyaLailai,,,NLDF2,2,Acropora,5,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,T,1,"B, PD",,Bleaching ,,Partly dead and bleaching,B
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,"P,",,Predation,,Fish feeding marks ,P
NanuyaLailai,,,NLDF2,2,Pavona,1,E,1,FB,,Focal Bleaching ,,White patches on surface,FB
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"B, PD",,Bleaching ,,,B
NanuyaLailai,,,NLDF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,3,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,SM,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches,FB
NanuyaLailai,,,NLDF2,2,Montipora,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Millepora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Diploastrea,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,T,1,"B, PD",,Bleaching ,,Partly dead with white patches,B
NanuyaLailai,,,NLDF2,2,Acropora,6,B,3,PD,,,,Some branches partly covered by white CA,PD
NanuyaLailai,,,NLDF2,2,Merulina,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pocillopora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,1,SM,1,"P, PD",,Predation,,Fish feeding marks ,P
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,1,"B, ",,Bleaching ,,Whole colony is white,B
NanuyaLailai,,,NLDF2,2,Montipora,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,3,PD,,,,Some parts of the dead branches coverd with SP and some with CA,PD
NanuyaLailai,,,NLDF2,2,Diploastrea,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,M ,1,"P, PD",,Predation,,Partly dead with fish feeding marks,P
NanuyaLailai,,,NLDF2,2,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,P,,Predation,,Drupella feeding mark,P
NanuyaLailai,,,NLDF2,2,Pavona,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Leptastrea,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Favites,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Astreopora,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,"P, PD",,Predation,,Partly dead with white patches,P
NanuyaLailai,,,NLDF2,2,Acropora,1,T,1,"B, PD",,Bleaching ,,Partly dead with white patches on some branches,B
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots on some branches,UWS
NanuyaLailai,,,NLDF2,2,Porites,1,SM,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches,FB
NanuyaLailai,,,NLDF2,2,Diploastrea,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Favites,1,SM,1,"B, PD",,Bleaching ,,Whole colony bleached and partly dead,B
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,2,"GA, B",Growth Anomalies ,Bleaching ,,Partly bleached with GA,GA
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Stylophora,2,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Platygyra,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Diploastrea,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Pocillopora,4,CC,1,"B, PD",,Bleaching ,,Partly dead with most branches bleached,B
NanuyaLailai,,,NLDF2,2,Porites,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Hydnophora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,2,"GA, PD",Growth Anomalies ,,,Partly dead with GA,GA
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,E,1,"E, B, PD",,Bleaching ,Eroded,Partly dead with signs of organism burrowing and partly bleached,B
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,"P, PD",,Predation,,Partly dead with fish feeding marks,P
NanuyaLailai,,,NLDF2,2,Porites,1,E,1,"P, PD",,Predation,,Partly dead with fish feeding marks,P
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,4,"E, PD",,Eroded,,Partly dead with signs of organism burrowing ,E
NanuyaLailai,,,NLDF2,2,Montipora,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,1,"B, ",,Bleaching ,,Some branches white,B
NanuyaLailai,,,NLDF2,2,Porites,1,SM,1,"P, PD",,Predation,,Partly dead with white spots and patches on surface,P
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,"B, PD",,Bleaching ,,Partly dead and whole colony bleached,B
NanuyaLailai,,,NLDF2,2,Montipora,2,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,1,"B, PD",,Bleaching ,,Partly dead and bleached,B
NanuyaLailai,,,NLDF2,2,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Goniastrea,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,2,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,T,1,B,,Bleaching ,,Partly bleached,B
NanuyaLailai,,,NLDF2,2,Cyphastrea,1,E,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,E,1,B,,Bleaching ,,Whole colony bleached,B
NanuyaLailai,,,NLDF2,2,Pavona,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,2,SM,1,"B, PD",,Bleaching ,,Partly dead with white patches on surface,B
NanuyaLailai,,,NLDF2,2,Montipora,1,F,1,"B, PD",,Bleaching ,,Partly dead with white patches on surface,B
NanuyaLailai,,,NLDF2,2,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,D,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,1,"B, PD",,Bleaching ,,Partly dead with a huge patch on one side,B
NanuyaLailai,,,NLDF2,2,Montipora,1,E,1,"B, P, PD",,Bleaching ,Predation,Partly dead with white patches and fish bite marks,B
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,5,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Astreopora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Merulina,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,2,SM,1,"P, PD",,Predation,,Partly dead with fish bite marks,P
NanuyaLailai,,,NLDF2,2,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Merulina,1,F,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,3,M ,1,"P, ",,Predation,,Partly dead with fish bite marks ,P
NanuyaLailai,,,NLDF2,2,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,2,SM,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white patches,UWS
NanuyaLailai,,,NLDF2,2,Favites,1,E,1,"B,",,Bleaching ,,Few white patches,B
NanuyaLailai,,,NLDF2,2,Acropora,3,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,t,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Diploastrea,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Porites,2,SM,1,"P, PD",,Predation,,Partly dead with fish bite marks ,P
NanuyaLailai,,,NLDF2,2,Merulina,2,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montipora,1,F,1,"B, PD",,Bleaching ,,Partly dead and bleached ,B
NanuyaLailai,,,NLDF2,2,Favites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,E,1,"B, PD",,Bleaching ,,Partly dead and bleached,B
NanuyaLailai,,,NLDF2,2,Cyphastrea,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Montastrea,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,T,1,"P, PD",,Predation,,One side of colony white,P
NanuyaLailai,,,NLDF2,2,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Diploastrea,1,E,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Acropora,3,T,0,,,,,,H
NanuyaLailai,,,NLDF2,2,Montipora,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Favites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,2,Acropora,1,B,1,"B, PD",,Bleaching ,,Bleaching on some and partly dead,B
NanuyaLailai,,,NLDF2,3,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,3,Acropora,3,B,0,,,,,,H
NanuyaLailai,,,NLDF2,3,Montipora,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,3,Porites,1,M ,1,"FB, ",,Focal Bleaching ,,Few white spots on surface,FB
NanuyaLailai,,,NLDF2,3,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,3,Montipora,1,F,0,,,,,,H
NanuyaLailai,,,NLDF2,3,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,3,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,3,Pocillopora,2,CC,1,"B, PD",,,,,B
NanuyaLailai,,,NLDF2,3,Acropora,1,T,1,"B,PD",,,,,B
NanuyaLailai,,,NLDF2,3,Pavona,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,3,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,3,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,3,Favites,1,M ,0,,,,,,H
