Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,24,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Favites,1,E,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,SM,1,"P, E, PD",,Predation,Eroded,Partly dead with fish feeding marks and signs of organism burrowing ,P
NanuyaLailai,12/4/2013,,NLSF2,1,Montipora,2,E,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,SM,4,E,,Eroded,,Parlty dead with signs of organism burrowing,
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Pocillopora,1,CC,1,"B,",,Bleaching ,,Partly bleached,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,2,GA,Growth Anomalies ,,,,GA
NanuyaLailai,12/4/2013,,NLSF2,1,Millepora,2,SM,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Favites,1,E,1,"B,PD",,Bleaching ,,Partly dead and prepared,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,SM,1,"E, PD",,Eroded,,Any sign of organism burrowing,IG
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,M ,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,2,SM,1,"B, PD",,Bleaching ,,Partly dead with white patches caused by mutlifocal bleaching,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Montipora,1,SM,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Goniastrea,1,M ,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Pocillopora,1,CC,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Merulina,1,F,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Millepora,1,B,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,M ,4,E,,Eroded,,Signs of organism burrowing,IG
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,2,E,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,3,D,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,2,T,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Millepora,3,B,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Echinopora,2,F,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Montipora,1,E,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Pocillopora,1,CC,1,B,,Bleaching ,,Some white patches on branches,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,10,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,28,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,1,B,,Bleaching ,,Whole colony is pale ,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,M ,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Merulina,1,F,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,SM,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Favia,1,SM,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Isopora,1,E,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,2,E,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Pocillopora,2,CC,2,"GA,B",Growth Anomalies ,Bleaching ,,,GA
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,2,SM,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,1,B,,Bleaching ,,Whole colony bleached ,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,B,2,"GA, PD",Growth Anomalies ,,,Partly dead with GAs,GA
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,M ,1,"WS, PD",White Syndrome,,,Partly dead with white bands and spots on surface,WS
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Montipora,3,SM,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,2,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Pocillopora,1,CC,1,"B, ",,Bleaching ,,Colony looks pale,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Millepora,3,SM,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Diploastrea,1,M ,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Favites,1,E,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,1,"B, PD",,Bleaching ,,Mostly dead with few white branches ,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,3,T,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,3,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,SM,1,"B, PD",,Bleaching ,,Partly dead with spots ,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,1,"B, PD",,Bleaching ,,Partly dead and bleached ,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,2,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,2,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Goniastrea,1,M ,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,2,T,1,"B, PD",,Bleaching ,,White patches on surface caused by multifocal bleaching ,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Montipora,1,E,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Montipora,1,SM,1,"B,E, PD",,Bleaching ,Eroded,Partly dead and white patches of mutlifocal bleahcing due to sediment clogs. Also organism burrowing ,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,5,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,1,"B,",,Bleaching ,,Partly Bleached,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,2,GA,Growth Anomalies ,,,,GA
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,4,D,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Platygyra,2,E,1,"B, ",,Bleaching ,,Partly bleached,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,M ,1,FB,,Focal Bleaching ,,White spots on surface,FB
NanuyaLailai,12/4/2013,,NLSF2,1,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,8,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Pavona,1,SM,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,1,B,,Bleaching ,,Partly bleached,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,B,1,"B, PD",,Bleaching ,,Parltly dead and bleached,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,D,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,2,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,2,GA,Growth Anomalies ,,,,GA
NanuyaLailai,12/4/2013,,NLSF2,1,Montipora,1,E,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Pocillopora,5,CC,1,B,,Bleaching ,,Whole colony Is white,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,6,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,E,1,"B, P, PD",,Bleaching ,Predation,Partly dead with white spots and patches caused by both bleaching and predation,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,3,D,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,2,E,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Pavona,1,E,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,1,"B, PD",,Bleaching ,,Partly dead with white patches ,BL
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF2,1,Acropora,6,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF2,1,Millepora,6,E,0,,,,,,H
