Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Cause,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,2,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,CC,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,4,E,,,,,,,IG
Leleuvia,9/27/2013,12:25,LUDF2,1,Diploastrea,1,M ,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,2,E,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Millepora,9,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Pavona,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Pocillopora,1,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,0,,,,,,,Bright orange in color,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,B,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,4,SM,3,PD,,,,,,,PD
Leleuvia,9/27/2013,12:25,LUDF2,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,9/27/2013,12:25,LUDF2,1,Porites,2,M ,1,"WSpt, P, ",UWS,WSO,Ulcerative White Spot Disease,Predation,,Look more like predation - fish bite marks,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Montipora,1,E,1,"WSpt,",UWS,WSO,Ulcerative White Spot Disease,,,Look like white spot syndrome,UWS
Leleuvia,9/27/2013,12:25,LUDF2,1,Pavona,1,E,0,,,,,,,,H
