Location,Date,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Causes,Comments,New Cat
Moorea,,MRSF2,1,Pocillopora,12,SM,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pocillopora,3,SM,1,P,P,P,Predation - Drupella,P
Moorea,,MRSF2,1,Pocillopora,1,SM,1,"B, PD",B,B,"Bleached, partly dead",BL
Moorea,,MRSF2,1,Turbinaria,1,F,0,,,,,H
Moorea,,MRSF2,1,Porites,1,E,1,"P, PD",P,P,"Predation - Fish, Partly dead",P
Moorea,,MRSF2,1,Pocillopora,6,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,20,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pocillopora,2,SM,1,P,P,P,Predation - Fish,P
Moorea,,MRSF2,1,Polyphyllia,1,S,1,FB,FB,B,Focal bleaching with a white spot,FB
Moorea,,MRSF2,1,Montipora,1,E,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pavona,1,E,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Favia,1,M,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,5,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,8,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,2,M,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,T,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pocillopora,1,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF2,1,Montipora,1,E,0,,,,,H
Moorea,,MRSF2,1,Porites,1,E,1,"WS, PD",WS,WS,"White Sydrome, Partly dead",WS
Moorea,,MRSF2,1,Pocillopora,14,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,E,0,,,,,H
Moorea,,MRSF2,1,Porites,4,E,1,UWS,UWS,WSO,Ulcerative white spot,UWS
Moorea,,MRSF2,1,Pocillopora,6,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pocillopora,6,SM,1,P,P,P,Predation - Fish,P
Moorea,,MRSF2,1,Pocillopora,2,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF2,1,Montastrea,1,M,1,"B, PD",B,B,"Bleached, partly dead",BL
Moorea,,MRSF2,1,Pocillopora,8,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Porites,1,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pocillopora,1,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Pocillopora,4,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF2,1,Porites,1,M,1,UWS,UWS,WSO,Ulcerative white spot,UWS
Moorea,,MRSF2,1,Pocillopora,13,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,10,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,2,E,1,UWS,UWS,WSO,White Sydrome,UWS
Moorea,,MRSF2,1,Porites,2,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,6,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pocillopora,3,SM,1,P,P,P,Predation - Fish,P
Moorea,,MRSF2,1,Pocillopora,2,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF2,1,Pocillopora,7,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,16,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pocillopora,1,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Pocillopora,3,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF2,1,Montastrea,1,M,1,"B, PD",B,B,"Bleached, partly dead",BL
Moorea,,MRSF2,1,Porites,2,M,1,UWS,UWS,WSO,Ulcerative white spot,UWS
Moorea,,MRSF2,1,Pocillopora,9,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,11,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,3,M,0,,,,,H
Moorea,,MRSF2,1,Acropora,3,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pocillopora,3,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Pocillopora,3,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF2,1,Montipora,1,E,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,1,UWS,UWS,WSO,Ulcerative white spot,UWS
Moorea,,MRSF2,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,T,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,4,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,20,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Porites,1,M,3,PD,,,,PD
Moorea,,MRSF2,1,Montipora,1,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,8,SM,0,,,,,H
Moorea,,MRSF2,1,Acropora,2,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Porites,1,SM,1,"UWS, PD",UWS,WSO,"Ulcerative White Spot, Partly dead",UWS
Moorea,,MRSF2,1,Montipora,1,E,0,,,,,H
Moorea,,MRSF2,1,Pavona,1,E,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,6,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,T,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pocillopora,1,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Porites,1,E,1,"B, PD",B,B,"Bleached, partly dead",BL
Moorea,,MRSF2,1,Leptastrea,1,E,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pavona,1,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,6,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,8,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,1,"B, PD",B,B,"Bleached, partly dead",BL
Moorea,,MRSF2,1,Porites,1,M,1,UWS,UWS,WSO,Ulcerative white spot,UWS
Moorea,,MRSF2,1,Pocillopora,9,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,16,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,4,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pocillopora,2,SM,1,P,P,P,Predation -fish,P
Moorea,,MRSF2,1,Porites,2,E,3,PD,,,,PD
Moorea,,MRSF2,1,Montipora,1,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,10,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,3,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,3,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Acropora,1,D,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF2,1,Montipora,1,E,0,,,,,H
Moorea,,MRSF2,1,Montastrea,1,M,1,"B, PD",B,B,"Bleached, partly dead",BL
Moorea,,MRSF2,1,Pavona,1,B,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Favia,1,M,3,PD,,,,PD
Moorea,,MRSF2,1,Favia,2,M,1,"B, PD",B,B,"Bleached, Partly dead",BL
Moorea,,MRSF2,1,Porites,2,SM,1,"P, PD",P,P,"Predation - Fish, Partly dead",P
Moorea,,MRSF2,1,Pocillopora,13,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,20,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,5,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pocillopora,5,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Pocillopora,1,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF2,1,Pocillopora,1,SM,1,"B, PD",B,B,"Bleached, partly dead",BL
Moorea,,MRSF2,1,Porites,3,E,1,"UWS, PD",UWS,WSO,"Ulcerative White Spot, Partly dead",UWS
Moorea,,MRSF2,1,Porites,1,E,1,FB,FB,B,Focal bleaching with a white spot,FB
Moorea,,MRSF2,1,Favia,1,M,0,,,,,H
Moorea,,MRSF2,1,Pavona,1,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,10,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Favia,1,M,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Pocillopora,2,SM,1,FB,FB,B,,FB
Moorea,,MRSF2,1,Pocillopora,7,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,2,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF2,1,Pavona,1,B,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Porites,1,E,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,9,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,12,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,E,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,1,B,B,B,,BL
Moorea,,MRSF2,1,Favia,2,M,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,1,FB,FB,B,,FB
Moorea,,MRSF2,1,Pocillopora,3,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,14,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Acropora,1,D,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,2,"GA, B",GA,,,GA
Moorea,,MRSF2,1,Montipora,2,E,1,B,B,B,,BL
Moorea,,MRSF2,1,Turbinaria,1,F,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,11,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,21,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,E,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Pocillopora,6,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Polyphyllia,1,S,1,FB,FB,B,,FB
Moorea,,MRSF2,1,Pavona,1,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,15,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,2,SM,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Favia,2,M,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,11,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Pocillopora,8,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Porites,1,SM,1,"P, PD",P,P,Unknown white patch,P
Moorea,,MRSF2,1,Porites,2,E,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,1,SM,2,"GA, B",GA,,,GA
Moorea,,MRSF2,1,Pocillopora,1,SM,1,UWS,UWS,WSO,,UWS
Moorea,,MRSF2,1,Pocillopora,4,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,3,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,4,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Montastrea,1,M,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Porites,1,E,2,PR,PR,,,PR
Moorea,,MRSF2,1,Porites,2,M,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Pocillopora,13,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,7,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Pocillopora,14,SM,1,P,P,P,Predation - Fish,P
Moorea,,MRSF2,1,Pocillopora,2,SM,2,"GA, P",GA,,,GA
Moorea,,MRSF2,1,Porites,1,M,1,P,P,P,Predation - Fish,P
Moorea,,MRSF2,1,Pocillopora,11,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,16,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,2,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,4,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Montipora,1,E,1,B,B,B,,BL
Moorea,,MRSF2,1,Montastrea,1,M,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Acropora,1,D,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Pocillopora,9,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,20,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Acropora,1,D,1,B,B,B,,BL
Moorea,,MRSF2,1,Montipora,1,E,1,B,B,B,,BL
Moorea,,MRSF2,1,Montastrea,1,M,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Pavona,1,E,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,4,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,10,SM,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,T,0,,,,,H
Moorea,,MRSF2,1,Montipora,1,E,1,B,B,B,,BL
Moorea,,MRSF2,1,Montastrea,1,M,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Porites,1,M,4,"E, PD",,,,IG
Moorea,,MRSF2,1,Pocillopora,3,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,PR,PR,,,PR
Moorea,,MRSF2,1,Porites,1,E,0,,,,,H
Moorea,,MRSF2,1,Acropora,2,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,3,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Porites,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Porites,1,SM,2,"PR, PD",PR,,,PR
Moorea,,MRSF2,1,Porites,1,SM,1,"P, PD",P,P,"Predation - Fish, Partly dead",P
Moorea,,MRSF2,1,Fungia,1,S,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,"GA, B",GA,,,GA
Moorea,,MRSF2,1,Montastrea,1,M,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Pavona,3,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,6,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF2,1,Montastrea,1,M,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Pocillopora,4,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,12,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,12,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Montastrea,1,M,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Pocillopora,8,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,1,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,E,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Pocillopora,1,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Pocillopora,1,SM,2,"GA, B, PD",GA,,,GA
Moorea,,MRSF2,1,Pavona,1,E,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,4,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,2,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Porites,1,E,1,FB,FB,B,,FB
Moorea,,MRSF2,1,Pocillopora,1,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,3,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Pocillopora,2,SM,2,"GA, B",GA,,,GA
Moorea,,MRSF2,1,Montipora,1,E,1,B,B,B,,BL
Moorea,,MRSF2,1,Montastrea,1,M,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Favia,1,M,0,,,,,H
Moorea,,MRSF2,1,Leptastrea,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,3,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,5,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,IG,IG,,Invert gallow,IG
Moorea,,MRSF2,1,Porites,1,M,3,PD,,,,PD
Moorea,,MRSF2,1,Porites,1,E,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Pocillopora,1,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,3,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,3,SM,2,PR,PR,,,PR
Moorea,,MRSF2,1,Porites,1,M,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Porites,2,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Porites,1,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Porites,1,SM,2,IG,IG,,Invert gallow,IG
Moorea,,MRSF2,1,Pavona,1,E,3,PD,,,,PD
Moorea,,MRSF2,1,Favia,1,M,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,3,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Pocillopora,1,SM,2,"GA, B",GA,,,GA
Moorea,,MRSF2,1,Pocillopora,2,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,3,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Montastrea,1,M,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,1,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,10,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,PR,PR,,,PR
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Montastrea,1,M,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,7,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Pocillopora,3,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,4,SM,0,,,,,H
Moorea,,MRSF2,1,Montastrea,1,SM,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Pocillopora,3,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,3,SM,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF2,1,Montipora,1,E,0,,,,,H
Moorea,,MRSF2,1,Porites,1,M,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,4,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,5,SM,0,,,,,H
Moorea,,MRSF2,1,Montipora,2,E,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,10,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Pocillopora,1,SM,2,"GA, B",GA,,,GA
Moorea,,MRSF2,1,Pocillopora,3,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,2,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,1,E,1,"B, PD",B,B,,BL
Moorea,,MRSF2,1,Pocillopora,4,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,7,SM,0,,,,,H
Moorea,,MRSF2,1,Montipora,1,E,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,4,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,15,SM,0,,,,,H
Moorea,,MRSF2,1,Acropora,1,D,1,B,B,B,,BL
Moorea,,MRSF2,1,Porites,1,M,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,1,Pocillopora,2,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,10,SM,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,8,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Acropora,1,T,0,,,,,H
Moorea,,MRSF2,1,Montipora,2,E,1,B,B,B,,BL
Moorea,,MRSF2,1,Pocillopora,1,SM,2,GA,GA,,,GA
Moorea,,MRSF2,1,Pocillopora,1,SM,1,B,B,B,,BL
Moorea,,MRSF2,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF2,1,Pocillopora,5,SM,0,,,,,H
Moorea,,MRSF2,1,Porites,2,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF2,1,Porites,1,SM,1,"UWS, P",UWS,WSO,,UWS
Moorea,,MRSF2,2,Pocillopora,12,SM,0,,,,,H
Moorea,,MRSF2,2,Pocillopora,1,SM,1,"P, PD",P,P,"Predation -Drupella, Partly dead",P
Moorea,,MRSF2,2,Porites,2,M,3,PD,,,,PD
Moorea,,MRSF2,2,Pocillopora,2,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF2,2,Pocillopora,1,SM,2,"PR, B",PR,,,PR
Moorea,,MRSF2,2,Pocillopora,1,SM,1,B,B,B,,BL
Moorea,,MRSF2,2,Acropora,1,T,0,,,,,H
Moorea,,MRSF2,2,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF2,2,Pocillopora,1,SM,2,"GA, PR",GA,,,GA
Moorea,,MRSF2,2,Pocillopora,10,SM,1,P,P,P,Predation - fish,P
Moorea,,MRSF2,2,Acropora,1,T,0,,,,,H
Moorea,,MRSF2,2,Pocillopora,1,SM,1,B,B,B,,BL
Moorea,,MRSF2,2,Pocillopora,4,SM,0,,,,,H
